Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P2JUR,Jurien Public Library,69 Bashford Street,JURIEN BAY,WA,6516,PO Box 676,JURIEN BAY,WA,6516,9652 0800
P9KLM,Kalamunda Administration,,,,,,,,,9257 9853
P5KLM,Kalamunda Public Library,,,,,7 Williams Street,KALAMUNDA,WA,6076,9257 9969
P2KLB,Kalbarri Public Library,Grey Street,KALBARRI,WA,6536,P.O. BOX   563,KALBARRI,WA,6536,9937 1097
P5KAL,Kalgoorlie-Boulder Public Library,Roberts Street,KALGOORLIE,WA,6430,PO BOX  2042,BOULDER,WA,6432,9021 7112
P5KAM,Kambalda Public Library,4 Barnes Drive,KAMBALDA,WA,6442,PO Box 138,KAMBALDA,WA,6442,9080 2119
P2KAR,Karratha Public Library,Lot 2598 Dampier Road (Pilbara Institute campus),Karratha,WA,6714,PO Box 219,KARRATHA,WA,6714,9186 8660
P1KUP,Karrinyup Public Library,Davenport Street,KARRINYUP,WA,6018,PO Box 79,KARRINYUP 6921,WA,0,9205 7400
P3KAT,Katanning Public Library,Austral Terrace,KATANNING,WA,6317,PO Box 130,KATANNING,WA,0,9821 4300
P5KEL,Kellerberrin Public Library,94 Massingham Street,Kellerberrin ,WA,6410,PO Box 152 ,Kellerberrin,WA,6410,9045 4991
P4KMS,Kelmscott Public Library,2800 Albany Highway,KELMSCOTT,WA,6111,PO Box 78,KELMSCOTT,WA,6111,9399 0810
P4KEN,Kenwick Public Library,80 Kenwick Road,KENWICK,WA,6107,PO Box 662,GOSNELLS ,WA,6990,9397 3099
P3KOJ,Kojonup Public Library,93 Albany Highway,KOJONUP,WA,6395,P.O. Box 163,KOJONUP,WA,6395,9831 2412
P3KON,Kondinin Public Library,11 Gordon Street,KONDININ,WA,6367,P O Box 7,KONDININ,WA,6367,9889 1006
P4KDA,Koorda Public Library,Cnr Allenby &amp; Haig Street,KOORDA,WA,6475,PO Box 20,KOORDA,WA,6475,9684 1219
P3KUK,Kukerin Public Library,,,,,Manser Street,KUKERIN,WA,6352,9864 6199
P3KUL,Kulin Public Library,Johnson Street,KULIN,WA,6365,PO Box 223,KULIN,WA,6365,9880 1242
P1KUN,Kununurra Public Library,Mangaloo Street,KUNUNURRA,WA,6743,P.O. Box 666,KUNUNURRA,WA,6743,9169 1227
P1KPG,Kupungarri Community Library-(not in operation 2002),The Library has been closed,,WA,0,,,,,
P4KWI,Kwinana Public Library,Corner Robbos Way and Chisham Avenue,Kwinana Town Centre,WA,6167,PO Box 21,KWINANA,WA,6966,9236 4300
P3LAK,Lake Grace Public Library,,,,,Absolon Street,LAKE GRACE,WA,6353,9865 1185
P3LKG,Lake King Public Library,Post Office,LAKE KING,WA,6356,Post Office,LAKE KING,WA,6356, 9874 4147 
P4LAN,Lancelin Public Library,Vins Way,LANCELIN,WA,6044,PO Box 13,LANCELIN,WA,6044,9655 2725
P2LAT,Latham Public Library,Britt Street,Latham,WA,6616,Post Office,LATHAM,WA,6616,99731002 (Shire)
P5LAV,Laverton Public Library,,,,,"Shop 4, Laver Place",LAVERTON,WA,6440,9031 1800
P2LEE,Leeman Public Library,20 Morcombe Road,LEEMAN,WA,6514,PO Box 238,LEEMAN,WA,6514,9953 1388
P5LEI,Leinster Community Library - CLOSED,Gledden Drive,LEINSTER,WA,6437,PMB 4 Community Library,LEINSTER,WA,6437,9037 9037
P5LEO,Leonora Public Library,16 Tower Street,LEONORA,WA,6438,PO Box 56,LEONORA,WA,6438,9037 7016
P5LES,Lesmurdie School Community Library,,,,,Reid Road,LESMURDIE,WA,6076,9257 9976
P1MAN,Mandurah Public Library,331 Pinjarra Road,MANDURAH,WA,6210,PO Box 210,MANDURAH,WA,6210,9550 3650
P1MAJ,Manjimup Public Library,,,,,PO Box 1,MANJIMUP  WA  6258,WA,0,9771 2895
P2MNG,Manning Public Library,Cnr Manning Road & Goss Avenue,MANNING,WA,6152,P O Box 7077,KARAWARA,WA,6152,9474 0822
P4MAB,Marble Bar Public Library,Francis Street,MARBLE BAR,WA,6760,PO Box 4,MARBLE BAR,WA,6760,9176 1008
P1MAR,Margaret River Public Library,Fearn Avenue,MARGARET RIVER,WA,6285,Post Office Box 61,MARGARET RIVER,WA,6285,9780 5600
P1MAY,Maylands Public Library,"The Rise, 28 Eighth Avenue",MAYLANDS,WA,6051,,,,,9208 2450
P2MEE,Meekatharra Public Library,Main Street,MEEKATHARRA,WA,6642,PO Box 129,MEEKATHARRA,WA,6642,9980 0600
P9MEL,Melville Administration,10 Almondbury Road,BOORAGOON,WA,6154,Locked Bag 1,BOORAGOON,WA,6954,9364 0124
P2MCS,Melville Civic Square Public Library,10 Almondbury Road,BOORAGOON,WA,6154,Locked Bag 1,BOORAGOON,WA,6954,9364 0138 
P5MEN,Menzies Public Library,Cnr Shenton & Brown Sts.,MENZIES,WA,6436,P.O. Box 4,MENZIES,WA,6436,9024 2702
P5MER,Merredin Public Library,,,,,Queen Street,MERREDIN,WA,6415,9041 1222
P5MID,Midland Public Library,45 Helena Street,MIDLAND,WA,6056,PO Box 5025,MIDLAND,WA,6056,9267 9020
P2MIN,Mingenew Public Library,Victoria Street,MINGENEW,WA,6522,PO Box 120,MINGENEW,WA,6522,9928 1102
P1MIR,Mirrabooka Public Library,,,,,21 Sudbury Rd,MIRRABOOKA,WA,6061,9205 7300
P4MOG,Mogumber Public Library,,,,,Mogumber Public Library,MOGUMBER,WA,6506,9651 9015
P4MOO,Moora Public Library,34 Padbury Street,MOORA,WA,6510,PO Box 211,MOORA,WA,6510,9651 0000
P2MOR,Morawa Public Library,Winfield Street,MORAWA,WA,6623,PO Box 14,MORAWA,WA,6623,9971 1204
P1MRY,Morley Public Library,7 Dewar Street,MORLEY,WA,6062,PO BOX 508,MORLEY,WA,6943,9272 0980
P3MTB,Mount Barker Public Library,Lowood Road,MOUNT BARKER,WA,6324,PO BOX 48,MOUNT BARKER,WA,6324,9851 2661
P3MTC,Mount Claremont Public Library,105 Montgomery Avenue,MT CLAREMONT,WA,6010,PO Box 9,NEDLANDS,WA,6909,9383 1462
P2MOU,Mount Magnet Public Library,Naughton Street,MOUNT MAGNET,WA,6638,PO Box 62,MT MAGNET,WA,6638,9963 4480
P5MUK,Mukinbudin Public Library,15 Maddock Street,MUKINBUDIN,WA,6479,PO Box 67,MUKINBUDIN,WA,6479,9047 2100
P2MUL,Mullewa Public Library,Cnr Padbury and Thomas Street,MULLEWA,WA,6630,PO Box 166,MULLEWA ,WA,6630,9961 1007
P5MUN,Mundaring Public Library,,,,,Nichol Street,MUNDARING,WA,6073,9290 6780
